x,y,z
512.9221,28.67068,528.3121
512.9681,28.67011,528.319
513.0142,28.66951,528.326
513.0601,28.66889,528.3329
513.1062,28.66824,528.3399
513.1524,28.66757,528.3469
513.1986,28.66688,528.3539
513.2448,28.66617,528.3608
513.291,28.66543,528.3678
513.337,28.66467,528.3748
513.3831,28.66389,528.3818
513.4291,28.66308,528.3888
513.4752,28.66226,528.3958
513.5211,28.66141,528.4027
513.567,28.66053,528.4097
513.6132,28.65963,528.4166
513.6594,28.65871,528.4236
513.7057,28.65776,528.4307
513.7518,28.65678,528.4376
513.798,28.65579,528.4446
513.8441,28.65477,528.4517
513.8901,28.65372,528.4586
513.9361,28.65265,528.4656
513.9821,28.65156,528.4725
514.028,28.65045,528.4796
514.0739,28.64931,528.4865
514.1202,28.64813,528.4935
514.1664,28.64693,528.5005
514.2126,28.64571,528.5076
514.2588,28.64446,528.5145
514.3049,28.64319,528.5215
514.351,28.64189,528.5286
514.397,28.64057,528.5355
514.4429,28.63922,528.5425
514.4888,28.63785,528.5494
514.5347,28.63645,528.5564
514.5809,28.63501,528.5634
514.6271,28.63355,528.5704
514.6733,28.63206,528.5775
514.7195,28.63055,528.5845
514.7656,28.62901,528.5914
514.8117,28.62744,528.5984
514.8577,28.62584,528.6054
514.9037,28.62423,528.6124
514.9496,28.62258,528.6193
514.9954,28.62091,528.6263
515.0415,28.6192,528.6333
515.0879,28.61743,528.6403
515.1342,28.61561,528.6473
515.1804,28.61374,528.6544
515.2265,28.61183,528.6614
515.2725,28.60987,528.6685
515.3185,28.60786,528.6755
515.3643,28.60581,528.6826
515.4101,28.60371,528.6896
515.4558,28.60156,528.6967
515.502,28.59934,528.7039
515.5483,28.59706,528.711
515.5945,28.59475,528.7181
515.6406,28.59238,528.7253
515.6866,28.58997,528.7325
515.7325,28.58751,528.7397
515.7784,28.585,528.7469
515.8243,28.58245,528.754
515.87,28.57986,528.7612
515.9158,28.57721,528.7685
515.962,28.57449,528.7758
516.0082,28.57173,528.7831
516.0543,28.56892,528.7904
516.1003,28.56606,528.7977
516.1462,28.56316,528.805
516.1921,28.56022,528.8123
516.2379,28.55724,528.8196
516.2837,28.55421,528.827
